sentenceID,sentenceText
DDI-DrugBank.d320.s1,"In vitro studies indicate CYP3A4 isoform and CYP1A2 isoform mediate the metabolism of levobupivacaine to desbutyl levobupivacaine and 3-hydroxy levobupivacaine, respectively."
DDI-DrugBank.d320.s2,Thus agents likely to be concomitantly administered with Chirocaine that are metabolized by this isoenzyme family may potentially interact with Chirocaine.
DDI-DrugBank.d320.s3,"Although no clinical studies have been conducted, it is likely that the metabolism of levobupivacaine may be affected by the known CYP3A4 inducers (such as phenytoin, phenobarbital, rifampin), CYP3A4 inhibitors (azole antimycotics e.g., ketoconazole;"
DDI-DrugBank.d320.s4,"certain protease inhibitors e.g., ritanovir;"
DDI-DrugBank.d320.s5,"macrolide antibiotics e.g., erythromycin;"
DDI-DrugBank.d320.s6,"and calcium channel antagonists e.g., verapamil), CYP1A2 inducers (omeprazole) and CYP1A2 inhibitors (furafylline and clarithromycin)."
DDI-DrugBank.d320.s7,Dosage adjustment may be warranted when levobupivacaine is concurrently administered with CYP3A4 inhibitors and CYP1A2 inhibitors as systemic levobupivacaine levels may rise resulting in toxicity.
DDI-DrugBank.d472.s0,"Central nervous system depressant (CNS) drugs including alcohol, antidepressants, antihistamines, antipsychotics, blood pressure medications (reserpine, methyldopa, beta-blockers), motion sickness medications, muscle relaxants, narcotics, sedatives, sleeping pills and tranquilizers"
DDI-DrugBank.d82.s0,"In normal volunteers receiving indomethacin, the administration of diflunisal decreased the renal clearance and significantly increased the plasma levels of indomethacin."
DDI-DrugBank.d82.s1,"In some patients, combined use of INDOCIN and diflunisal has been associated with fatal gastrointestinal hemorrhage."
DDI-DrugBank.d82.s2,"Therefore, diflunisal and INDOCIN should not be used concomitantly."
DDI-DrugBank.d82.s3,"In a study in normal volunteers, it was found that chronic concurrent administration of 3.6 g of aspirin per day decreases indomethacin blood levels approximately 20%."
DDI-DrugBank.d82.s4,"The concomitant use of INDOCIN with other NSAIDs is not recommended due to the increased possibility of gastrointestinal toxicity, with little or no increase in efficacy."
DDI-DrugBank.d82.s5,Clinical studies have shown that INDOCIN does not influence the hypoprothrombinemia produced by anticoagulants.
DDI-DrugBank.d82.s6,"However, when any additional drug, including INDOCIN, is added to the treatment of patients on anticoagulant therapy, the patients should be observed for alterations of the prothrombin time."
DDI-DrugBank.d82.s7,"In post-marketing experience, bleeding has been reported in patients on concomitant treatment with anticoagulants and INDOCIN."
DDI-DrugBank.d82.s8,Caution should be exercised when INDOCIN and anticoagulants are administered concomitantly.
DDI-DrugBank.d82.s9,"When INDOCIN is given to patients receiving probenecid, the plasma levels of indomethacin are likely to be increased."
DDI-DrugBank.d82.s10,"Therefore, a lower total daily dosage of INDOCIN may produce a satisfactory therapeutic effect."
DDI-DrugBank.d82.s11,"When increases in the dose of INDOCIN are made, they should be made carefully and in small increments."
DDI-DrugBank.d82.s12,Caution should be used if INDOCIN is administered simultaneously with methotrexate.
DDI-DrugBank.d82.s13,INDOCIN has been reported to decrease the tubular secretion of methotrexate and to potentiate its toxicity.
DDI-DrugBank.d82.s14,"Administration of non-steroidal anti-inflammatory drugs concomitantly with cyclosporine has been associated with an increase in cyclosporine-induced toxicity, possibly due to decreased synthesis of renal prostacyclin."
DDI-DrugBank.d82.s15,"NSAIDs should be used with caution in patients taking cyclosporine, and renal function should be carefully monitored."
DDI-DrugBank.d82.s16,Capsules INDOCIN 50 mg t.i.d. produced a clinically relevant elevation of plasma lithium and reduction in renal lithium clearance in psychiatric patients and normal subjects with steady state plasma lithium concentrations.
DDI-DrugBank.d82.s17,This effect has been attributed to inhibition of prostaglandin synthesis.
DDI-DrugBank.d82.s18,"As a consequence, when INDOCIN and lithium are given concomitantly, the patient should be carefully observed for signs of lithium toxicity."
DDI-DrugBank.d82.s19,(Read circulars for lithium preparations before use of such concomitant therapy.)
DDI-DrugBank.d82.s20,"In addition, the frequency of monitoring serum lithium concentration should be increased at the outset of such combination drug treatment."
DDI-DrugBank.d82.s21,INDOCIN given concomitantly with digoxin has been reported to increase the serum concentration and prolong the half-life of digoxin.
DDI-DrugBank.d82.s22,"Therefore, when INDOCIN and digoxin are used concomitantly, serum digoxin levels should be closely monitored."
DDI-DrugBank.d82.s23,"In some patients, the administration of INDOCIN can reduce the diuretic, natriuretic, and antihypertensive effects of loop, potassium-sparing, and thiazide diuretics."
DDI-DrugBank.d82.s24,"Therefore, when INDOCIN and INDOCIN."
DDI-DrugBank.d82.s25,"(Indomethacin) diuretics are used concomitantly, the patient should be observed closely to determine if the desired effect of the diuretic is obtained."
DDI-DrugBank.d82.s26,"INDOCIN reduces basal plasma renin activity (PRA), as well as those elevations of PRA induced by furosemide administration, or salt or volume depletion."
DDI-DrugBank.d82.s27,These facts should be considered when evaluating plasma renin activity in hypertensive patients.
DDI-DrugBank.d82.s28,It has been reported that the addition of triamterene to a maintenance schedule of INDOCIN resulted in reversible acute renal failure in two of four healthy volunteers.
DDI-DrugBank.d82.s29,INDOCIN and triamterene should not be administered together.
DDI-DrugBank.d82.s30,INDOCIN and potassium-sparing diuretics each may be associated with increased serum potassium levels.
DDI-DrugBank.d82.s31,The potential effects of INDOCIN and potassium-sparing diuretics on potassium kinetics and renal function should be considered when these agents are administered concurrently.
DDI-DrugBank.d82.s32,"Most of the above effects concerning diuretics have been attributed, at least in part, to mechanisms involving inhibition of prostaglandin synthesis by INDOCIN."
DDI-DrugBank.d82.s33,Blunting of the antihypertensive effect of beta-adrenoceptor blocking agents by non-steroidal antiinflammatory drugs including INDOCIN has been reported.
DDI-DrugBank.d82.s34,"Therefore, when using these blocking agents to treat hypertension, patients should be observed carefully in order to confirm that the desired therapeutic effect has been obtained."
DDI-DrugBank.d82.s35,INDOCIN can reduce the antihypertensive effects of captopril and losartan.
DDI-DrugBank.d82.s36,False-negative results in the dexamethasone suppression test (DST) in patients being treated with INDOCIN have been reported.
DDI-DrugBank.d82.s37,"Thus, results of the DST should be interpreted with caution in these patients."
DDI-DrugBank.d181.s0,"Oxytocin or other oxytocics (concurrent use with dinoprost may result in uterine hypertonus, possibly causing uterine rupture or cervical laceration, especially in the absence of adequate cervical dilatation;"
DDI-DrugBank.d181.s1,"although combinations are sometimes used for therapeutic advantage, when used concurrently, patient should be closely monitored."
DDI-DrugBank.d295.s0,"Since entecavir is primarily eliminated by the kidneys, coadministration of BARACLUDE with drugs that reduce renal function or compete for active tubular secretion may increase serum concentrations of either entecavir or the coadministered drug."
DDI-DrugBank.d295.s1,"Coadministration of entecavir with lamivudine, adefovir dipivoxil,or tenofovir disoproxil fumarate did not result in significant drug interactions."
DDI-DrugBank.d295.s2,"The effects of coadministration of BARACLUDE with other drugs that are renally eliminated or are known to affect renal function have not been evaluated, and patients should be monitored closely for adverse events when BARACLUDE is coadministered with such drugs."
DDI-DrugBank.d554.s0,"Certain antibiotic, cisplatin, cyclosporine, diuretic, foscarnet, and vaccines."
DDI-DrugBank.d563.s0,Special consideration should be given to the administration of ETHYOL in patients receiving antihypertensive medications or other drugs that could cause or potentiate hypotension.
DDI-DrugBank.d530.s0,"Non-selective monoamine oxidase (MAO) inhibitors - including phenelzine sulfate, tranylcypromine sulfate and pargyline HC1."
DDI-DrugBank.d530.s1,Concomitant use of L-phenylalanine and non-selective MAO inhibitors may cause hypertension.
DDI-DrugBank.d530.s2,Selegiline - L-phenylalanine and the selective MAO inhibitor selegiline may have synergistic antidepressant activity if used concomitantly.
DDI-DrugBank.d530.s3,Neuroleptic Drugs - L-phenylalanine may potentiate the tardive dyskinesia side reactions of neuroleptic drugs if used concomitantly with them.
DDI-DrugBank.d216.s0,CNS-Active Drugs Ethanol An additive effect on psychomotor performance was seen with coadministration of eszopiclone and ethanol 0.70 g/kg for up to 4 hours after ethanol administration.
DDI-DrugBank.d216.s1,Paroxetine: Coadministration of single doses of eszopiclone 3 mg and paroxetine 20 mg daily for 7 days produced no pharmacokinetic or pharmacodynamic interaction.
DDI-DrugBank.d216.s2,Lorazepam: Coadministration of single doses of eszopiclone 3 mg and lorazepam 2 mg did not have clinically relevant effects on the pharmacodynamics or pharmacokinetics of either drug.
DDI-DrugBank.d216.s3,Olanzapine: Coadministration of eszopiclone 3 mg and olanzapine 10 mg produced a decrease in DSST scores.
DDI-DrugBank.d216.s4,The interaction was pharmacodynamic;
DDI-DrugBank.d216.s5,there was no alteration in the pharmacokinetics of either drug.
DDI-DrugBank.d216.s6,Drugs That Inhibit CYP3A4 (Ketoconazole) CYP3A4 is a major metabolic pathway for elimination of eszopiclone.
DDI-DrugBank.d216.s7,"The AUC of eszopiclone was increased 2.2-fold by coadministration of ketoconazole, a potent inhibitor of CYP3A4, 400 mg daily for 5 days."
DDI-DrugBank.d216.s8,"Cmax and t1/2 were increased 1.4-fold and 1.3-fold, respectively."
DDI-DrugBank.d216.s9,"Other strong inhibitors of CYP3A4 (e.g., itraconazole, clarithromycin, nefazodone, troleandomycin, ritonavir, nelfinavir) would be expected to behave similarly."
DDI-DrugBank.d216.s10,"Drugs That Induce CYP3A4 (Rifampicin) Racemic zopiclone exposure was decreased 80% by concomitant useof rifampicin, a potent inducer of CYP3A4."
DDI-DrugBank.d216.s11,A similar effect would be expected with eszopiclone.
DDI-DrugBank.d216.s12,Drugs Highly Bound To Plasma Protein Eszopiclone is not highly bound to plasma proteins (52-59% bound);
DDI-DrugBank.d216.s13,"therefore, the disposition of eszopiclone is not expected to be sensitive to alterations in protein binding."
DDI-DrugBank.d216.s14,Administration of eszopiclone 3 mg to a patient taking another drug that is highly protein-bound would not be expected to cause an alteration in the free concentration of either drug.
DDI-DrugBank.d216.s15,Drugs With A Narrow Therapeutic Index Digoxin A single dose of eszopiclone 3 mg did not affect the pharmacokinetics of digoxin measured at steady state following dosing of 0.5 mg twice daily for one day and 0.25 mg daily for the next 6 days.
DDI-DrugBank.d216.s16,"Warfarin: Eszopiclone 3 mg administered daily for 5 days did not affect the pharmacokinetics of (R)- or (S)-warfarin, nor were there any changes in the pharmacodynamic profile (prothrombin time) following a single 25 mg oral dose of warfarin"
DDI-DrugBank.d381.s0,ERGAMISOL  (levamisole hydrochloride) has been reported to produce ANTABUSE-like side effects when given concomitantly with alcohol.
DDI-DrugBank.d381.s1,The physician is advised to monitor plasma levels of phenytoin and to decrease the dose if necessary.
DDI-DrugBank.d381.s2,"Because of reports of prolongation of the prothrombin time beyond the therapeutic range in patients taking concurrent levamisole and warfarin sodium, it is suggested that the prothrombin time be monitored carefully, and the dose of warfarin sodium or other coumarin-like drugs should be adjusted accordingly, in patients taking both drugs."
DDI-DrugBank.d58.s0,No formal drug interaction studies have been conducted.
DDI-DrugBank.d507.s0,The potential for increased sedation when guanfacine is given with other CNS-depressant drug should be appreciated.
DDI-DrugBank.d507.s1,The administration of guanfacine concomitantly with known microsomal enzyme inducer (phenobarbital or phenytoin) to two patients with renal impairment reportedly resulted in significant reductions in elimination half-life and plasma concentration.
DDI-DrugBank.d507.s2,"In such cases, therefore, more frequent dosing may be required to achieve or maintain the desired hypotensive response."
DDI-DrugBank.d507.s3,"Further, if guanfacine is to be discontinued in such patients, careful tapering of the dosage may be necessary in order to avoid rebound phenomena."
DDI-DrugBank.d507.s4,TCAs decrease the hypotensive effect of guanfacine.
DDI-DrugBank.d507.s5,"Noncardioselective beta-blockers (nadolol,porpranolol,timolol) may exacerbate rebound hypertension when guanfacine is withdrawn."
DDI-DrugBank.d507.s6,The beta-blocker should be withdrawn first.
DDI-DrugBank.d507.s7,The gradual withdrawal of guafacine or a cardioselective beta-blocker could be substituted.
DDI-DrugBank.d507.s8,"Anticoagulants: Ten patients who were stabilized on oral anticoagulants were given guanfacine, 1-2 mg/day, for 4 weeks."
DDI-DrugBank.d507.s9,No changes were observed in the degree of anticoagulation.
DDI-DrugBank.d507.s10,"In several well-controlled studies, guanfacine was administered together with diuretics with no drug interactions reported."
DDI-DrugBank.d507.s11,"In the long-term safety studies, guanfacine was given concomitantly with many drugs without evidence of any interactions."
DDI-DrugBank.d507.s12,"The principal drugs given (number of patients in parentheses) were: cardiac glycosides (115), sedatives and hypnotics (103), coronary vasodilators (52), oral hypoglycemics (45), cough and cold preparations (45), NSAIDs (38), antihyperlipidemics (29), antigout drugs (24), oral contraceptives (18), bronchodilators (13), insulin (10), and beta blockers (10)."
DDI-DrugBank.d507.s13,"Laboratory Test In clinical trials, no clinically relevant laboratory test abnormalities were identified as causally related to drug during short-term treatment with guanfacine."
DDI-DrugBank.d507.s14,Drug/Laboratory Test Interactions No laboratory test abnormalities related to the use of guanfacine have been identified.
DDI-DrugBank.d261.s0,"Tetracycline, a bacteriostatic antibiotic, may antagonize the bactericidal effect of penicillin and concurrent use of these drugs should be avoided."
DDI-DrugBank.d92.s0,No well-known drug interactions with glutamic acid
DDI-DrugBank.d83.s0,Patients on warfarin-type anticoagulant therapy may require dosage adjustment of the anticoagulant during and after griseofulvin therapy.
DDI-DrugBank.d83.s1,Concomitant use of barbiturates usually depresses griseofulvin activity and may necessitate raising the dosage.
DDI-DrugBank.d83.s2,The concomitant administration of griseofulvin has been reported to reduce the efficacy of oral contraceptives and to increase the incidence of breakthrough bleeding.
DDI-DrugBank.d411.s0,"The magnitude and relative importance of the effects noted below are likely to be patient specific and may vary by such factors as age, gender, race, intercurrent illnesses, dose of either agent, additional concomitant medications, and timing of drug administration."
DDI-DrugBank.d411.s1,"Any agent that alters thyroid hormone synthesis, secretion, distribution, effect on target tissues, metabolism, or elimination may alter the optimal therapeutic dose of levothyroxine sodium."
DDI-DrugBank.d411.s2,"Levothyroxine Sodium Absorption: The following agents may bind and decrease absorption of levothyroxine sodium from the gastrointestinal tract: aluminum hydoxide, cholestyramine resin, colestipol hydrochloride, ferrous sulfate, sodium polystyrene sulfonate, soybean flour (e.g., infant formula), sucralfate."
DDI-DrugBank.d411.s3,"Binding to Serum Proteins: The following agents may either inhibit levothyroxine sodium binding to serum proteins or alter the concentrations of serum binding proteins: androgens and related anabolic hormones, asparaginase, clofibrate, estrogens and estrogen-containing compounds, 5-fluorouracil, furosemide, glucocorticoids, meclofenamic acid, mefenamic acid, methadone, perphenazine, phenylbutazone, phenytoin, salicylates, tamoxifen."
DDI-DrugBank.d411.s4,"Thyroid Physiology: The following agents may alter thyroid hormone or TSH levels, generally by effects on thyroid hormone synthesis, secretion, distribution, metabolism, hormone action, or elimination, or altered TSH secretion: aminoglutethimide, p-aminosalicylic acid, amiodarone, androgens and related anabolic hormones, complex anions (thiocyanate, perchlorate, pertechnetate), antithyroid drugs, b-adrenergic blocking agents, carbamazepine, chloral hydrate, diazepam, dopamine and dopamine agonists, ethionamide, glucocorticoids, heparin, hepatic enzyme inducers, insulin, iodinated cholestographic agents, iodine-containing compounds, levodopa, lovastatin, lithium, 6-mercaptopurine, metoclopramide, mitotane, nitroprusside, phenobarbital, phenytoin, resorcinol, rifampin, somatostatin analogs, sulfonamides, sulfonylureas, thiazide diuretics."
DDI-DrugBank.d411.s5,"Adrenocorticoids: Metabolic clearance of adrenocorticoids is decreased in hypothyroid patients and increased in hyperthyroid patients, and may therefore change with changing thyroid status."
DDI-DrugBank.d411.s6,Amiodarone: Amiodarone therapy alone can cause hypothyroidism or hyperthyroidism.
DDI-DrugBank.d411.s7,"Anticoagulants (Oral): The hypoprothrombinemic effect of anticoagulants may be potentiated, apparently by increased catabloism of vitamin K-dependent clotting factors."
DDI-DrugBank.d411.s8,"Antidiabetic Agents (Insulin, Sulfonylureas): Requirements for insulin or oral antidiabetic agents may be reduced in hypothyroid patients with diabetes mellitus and may subsequently increase with the initiation of thyroid hormone replacement therapy."
DDI-DrugBank.d411.s9,b-Adrenergic Blocking Agents: Actions of some of beta-blocking agents may be impaired when hypothyroid patients become euthyroid.
DDI-DrugBank.d411.s10,"Cytokines (interferon, interleukin): Cytokines have been reported to induce both hyperthyroidism and hypothyroidism."
DDI-DrugBank.d411.s11,Digitalis Glycosides: Therapeutic effects of digitalis glycosides may be reduced.
DDI-DrugBank.d411.s12,Serum digitalis levels may be decreased in hyperthyroidism or when a hypothyroid patient becomes euthyroid.
DDI-DrugBank.d411.s13,Ketamine: Marked hypertension and tachycardia have been reported in association with concomitant administration of levothyroxine sodium and ketamine.
DDI-DrugBank.d411.s14,Maprotiline: Risk of cardiac arrhythmias may increase.
DDI-DrugBank.d411.s15,"Sodium Iodide (123I and 131I), Sodium Pertechnetate Tc99m: Uptake of radiolabeled ions may be decreased."
DDI-DrugBank.d411.s16,Somatrem/Somatropin: Excessive concurrent use of thyroid hormone may accelerate epiphyseal closure.
DDI-DrugBank.d411.s17,Untreated hypothyroidism may interfere with the growth response to somatrem or somatropin.
DDI-DrugBank.d411.s18,Theophylline: Theophylline clearance may decrease in hypothyroid patients and return toward normal when a euthyroid state is achieved.
DDI-DrugBank.d411.s19,"Tricyclic Antidepressants: Concurrent use may increase the therapeutic and toxic effects of both drugs, possibly due to increased catecholamine sensitivity."
DDI-DrugBank.d411.s20,Onset of action of tricyclics may be accelerated.
DDI-DrugBank.d411.s21,Sympathomimetic Agents: Possible increased risk of coronary insufficiency in patients with coronary artery disease.
DDI-DrugBank.d421.s0,No information available.
DDI-DrugBank.d251.s0,"Antiacid, clarithromycin, Didanosine, Fluconazole, Fluoxetine, Indanavir, Ketoconazole, Phenytoin, Phenobarbitol, carbamazepine, Rifabutin, Rifampin, Ritanovir, Saquinavir."
DDI-DrugBank.d167.s0,"Potentially fatal drug interactions may occur when coadministered with digoxin, as this may enhance cardiovascular depression and bradyarrhythmias may occur."
DDI-DrugBank.d167.s1,"Anticholinesterases (neostgmine, physostigmine), lignocaine, quinine, procainamide can enhance toxicity and cause cardio respiratory depression."
DDI-DrugBank.d167.s2,"In addition, neuromuscular blocking action is enhanced by general anesthetics, local anesthetics like lidocaine, procaine, beta-blockers, metaclopramide, lithium carbonate, and terbutaline."
DDI-DrugBank.d285.s0,Reduced efficacy and increased incidence of breakthrough bleeding and menstrual irregularities have been associated with concomitant use of rifampin.
DDI-DrugBank.d285.s1,"A similar association, though less marked, has been suggested with barbiturates, phenyl-butazone, phenytoin sodium, carbamazepine and possibly with griseofulvin, ampicillin, and tetracyclines (72)"
DDI-DrugBank.d93.s0,"Clinical trials have indicated that Pulmozyme can be effectively and safely used in conjunction with standard cystic fibrosis therapies including oral, inhaled and/or parenteral antibiotics, bronchodilators, enzyme supplements, vitamins, oral or inhaled corticosteroids, and analgesics."
DDI-DrugBank.d93.s1,No formal drug interaction studies have been performed.
DDI-DrugBank.d112.s0,Concurrent use with probenecid or other drugs significantly eliminated by active renal tubular secretion may result in increased plasma concentrations of penciclovir.
DDI-DrugBank.d112.s1,The conversion of 6-deoxy penciclovir to penciclovir is catalyzed by aldehyde oxidase.
DDI-DrugBank.d112.s2,Interactions with other drugs metabolized by this enzyme could potentially occur.
DDI-DrugBank.d64.s0,Addition or deletion of any drug from the therapeutic regimen of patients receiving oral anticoagulants may affect patient response to the anticoagulant.
DDI-DrugBank.d64.s1,Frequent determination of prothrombin time and close monitoring of the patient is essential to ascertain when adjustment of dosage of anticoagulant may be needed.
DDI-DrugBank.d64.s2,"Because of the variability of individual patient response, multiple interacting mechanisms with some drugs, the dependency of the extent of the interaction on the dosage and duration of therapy, and the possible administration of several interacting drugs simultaneously, it is difficult to predict the direction and degree of the ultimate effect of concomitant medications on anticoagulant response."
DDI-DrugBank.d64.s3,"For example, since cholestyramine may reduce the gastrointestinal absorption of both the oral anticoagulants and vitamin K, the net effects are unpredictable."
DDI-DrugBank.d64.s4,"Chloral hydrate may cause an increased prothrombin response by displacing the anticoagulant from protein binding sites or a diminished prothrombin response through increased metabolism of the unbound drug by hepatic enzyme induction, thus leading to inter-patient variation in ultimate prothrombin effect."
DDI-DrugBank.d64.s5,"An interacting drug which leads to a decrease in prothrombin time necessitating an increased dose of oral anticoagulant to maintain an adequate degree of anticoagulation may, if abruptly discontinued, increase the risk of subsequent bleeding."
DDI-DrugBank.d64.s6,"Drugs that have been reported to diminish oral anticoagulant response, ie, decreased prothrom-bin time response, in man significantly include: adrenocortical steroids;"
DDI-DrugBank.d64.s7,alcohol*;
DDI-DrugBank.d64.s8,antacids;
DDI-DrugBank.d64.s9,antihistamines;
DDI-DrugBank.d64.s10,barbiturates;
DDI-DrugBank.d64.s11,carbamazepine;
DDI-DrugBank.d64.s12,chloral hydrate*;
DDI-DrugBank.d64.s13,chlordiazepoxide;
DDI-DrugBank.d64.s14,cholestyramine;
DDI-DrugBank.d64.s15,diet high in vitamin K;
DDI-DrugBank.d64.s16,diuretics*;
DDI-DrugBank.d64.s17,ethchlorvynol;
DDI-DrugBank.d64.s18,glutethimide;
DDI-DrugBank.d64.s19,griseofulvin;
DDI-DrugBank.d64.s20,haloperidol;
DDI-DrugBank.d64.s21,meprobamate;
DDI-DrugBank.d64.s22,oral contraceptives;
DDI-DrugBank.d64.s23,paraldehyde;
DDI-DrugBank.d64.s24,primidone;
DDI-DrugBank.d64.s25,ranitidine*;
DDI-DrugBank.d64.s26,rifampin;
DDI-DrugBank.d64.s27,unreliable prothrombin time determinations;
DDI-DrugBank.d64.s28,vitamin C;
DDI-DrugBank.d64.s29,"Drugs that have been reported to diminish oral anticoagulant response, ie, decreased prothrom-bin time response, in man significantly include: adrenocortical steroids;alcohol*;antacids;antihistamines;barbiturates;carbamazepine;chloral hydrate*;chlordiazepoxide;cholestyramine;diet high in vitamin K;diuretics*;ethchlorvynol;glutethimide;griseofulvin;haloperidol;meprobamate;oral contraceptives;paraldehyde;primidone;ranitidine*;rifampin;unreliable prothrombin time determinations;vitamin C;warfarin sodium under-dosage."
DDI-DrugBank.d64.s30,"Drugs that reportedly may increase oral anticoagulant response, ie, increased prothrombin response, in man include:alcohol*;"
DDI-DrugBank.d64.s31,allopurinol;
DDI-DrugBank.d64.s32,aminosalicylic acid;
DDI-DrugBank.d64.s33,amiodarone;
DDI-DrugBank.d64.s34,anabolic steroids;
DDI-DrugBank.d64.s35,antibiotics;
DDI-DrugBank.d64.s36,bromelains;
DDI-DrugBank.d64.s37,chloral hydrate*;
