entityID,name,position,type
DDI-DrugBank.d172.s21.e2,CELEBREX,92-99,brand
DDI-DrugBank.d172.s21.e3,methotrexate,162-173,drug
DDI-DrugBank.d172.s22.e0,Warfarin,0-7,drug
DDI-DrugBank.d172.s22.e1,celecoxib,24-32,drug
DDI-DrugBank.d172.s22.e2,warfarin,66-73,drug
DDI-DrugBank.d172.s22.e3,warfarin,153-160,drug
DDI-DrugBank.d172.s23.e0,celecoxib,19-27,drug
DDI-DrugBank.d172.s23.e1,warfarin,71-78,drug
DDI-DrugBank.d172.s24.e0,CELEBREX,51-58,brand
DDI-DrugBank.d172.s24.e1,warfarin,65-72,drug
DDI-DrugBank.d180.s0.e0,Digitalis,0-8,group
DDI-DrugBank.d180.s0.e1,Bretylium Tosylate,88-105,drug
DDI-DrugBank.d180.s1.e0,catecholamines,23-36,group
DDI-DrugBank.d180.s1.e1,dopamine,46-53,drug
DDI-DrugBank.d180.s1.e2,norepinephrine,58-71,drug
DDI-DrugBank.d180.s1.e3,Bretylium Tosylate,89-106,drug
DDI-DrugBank.d180.s2.e0,catecholamines,5-18,group
DDI-DrugBank.d180.s3.e0,lidocaine,80-88,drug
DDI-DrugBank.d180.s3.e1,Bretylium Tosylate,94-111,drug
DDI-DrugBank.d320.s0.e0,Chirocaine,0-9,brand
DDI-DrugBank.d320.s0.e1,anesthetics,75-85,group
DDI-DrugBank.d320.s1.e0,levobupivacaine,86-100,drug
DDI-DrugBank.d320.s1.e1,desbutyl levobupivacaine,105-128,drug_n
DDI-DrugBank.d320.s1.e2,3-hydroxy levobupivacaine,134-158,drug_n
DDI-DrugBank.d320.s2.e0,Chirocaine,57-66,brand
DDI-DrugBank.d320.s2.e1,Chirocaine,144-153,brand
DDI-DrugBank.d320.s3.e0,levobupivacaine,86-100,drug
DDI-DrugBank.d320.s3.e1,phenytoin,156-164,drug
DDI-DrugBank.d320.s3.e2,phenobarbital,167-179,drug
DDI-DrugBank.d320.s3.e3,rifampin,182-189,drug
DDI-DrugBank.d320.s3.e4,ketoconazole,237-248,drug
DDI-DrugBank.d320.s4.e0,protease inhibitors,8-26,group
DDI-DrugBank.d320.s5.e0,macrolide antibiotics,0-20,group
DDI-DrugBank.d320.s5.e1,erythromycin,28-39,drug
DDI-DrugBank.d320.s6.e0,calcium channel antagonists,4-30,group
DDI-DrugBank.d320.s6.e1,verapamil,38-46,drug
DDI-DrugBank.d320.s6.e2,omeprazole,67-76,drug
DDI-DrugBank.d320.s6.e3,furafylline,102-112,drug
DDI-DrugBank.d320.s6.e4,clarithromycin,118-131,drug
DDI-DrugBank.d320.s7.e0,levobupivacaine,40-54,drug
DDI-DrugBank.d320.s7.e1,levobupivacaine,142-156,drug
DDI-DrugBank.d472.s0.e0,Central nervous system depressant,0-32,group
DDI-DrugBank.d472.s0.e1,alcohol,56-62,drug
DDI-DrugBank.d472.s0.e2,antidepressants,65-79,group
DDI-DrugBank.d472.s0.e3,antihistamines,82-95,group
DDI-DrugBank.d472.s0.e4,antipsychotics,98-111,group
DDI-DrugBank.d472.s0.e5,reserpine,142-150,drug
DDI-DrugBank.d472.s0.e6,methyldopa,153-162,drug
DDI-DrugBank.d472.s0.e7,beta-blockers,165-177,group
DDI-DrugBank.d472.s0.e8,muscle relaxants,210-225,group
DDI-DrugBank.d472.s0.e9,narcotics,228-236,group
DDI-DrugBank.d472.s0.e10,sedatives,239-247,group
DDI-DrugBank.d472.s0.e11,tranquilizers,269-281,group
DDI-DrugBank.d82.s0.e0,indomethacin,31-42,drug
DDI-DrugBank.d82.s0.e1,diflunisal,67-76,drug
DDI-DrugBank.d82.s0.e2,indomethacin,157-168,drug
DDI-DrugBank.d82.s1.e0,INDOCIN,34-40,brand
DDI-DrugBank.d82.s1.e1,diflunisal,46-55,drug
DDI-DrugBank.d82.s2.e0,diflunisal,11-20,drug
DDI-DrugBank.d82.s2.e1,INDOCIN,26-32,brand
DDI-DrugBank.d82.s3.e0,aspirin,97-103,brand
DDI-DrugBank.d82.s3.e1,indomethacin,123-134,drug
DDI-DrugBank.d82.s4.e0,INDOCIN,23-29,brand
DDI-DrugBank.d82.s4.e1,NSAIDs,42-47,group
DDI-DrugBank.d82.s5.e0,INDOCIN,33-39,brand
DDI-DrugBank.d82.s5.e1,anticoagulants,96-109,group
DDI-DrugBank.d82.s6.e0,INDOCIN,45-51,brand
DDI-DrugBank.d82.s6.e1,anticoagulant,95-107,group
DDI-DrugBank.d82.s7.e0,anticoagulants,99-112,group
DDI-DrugBank.d82.s7.e1,INDOCIN,118-124,brand
DDI-DrugBank.d82.s8.e0,INDOCIN,33-39,brand
DDI-DrugBank.d82.s8.e1,anticoagulants,45-58,group
DDI-DrugBank.d82.s9.e0,INDOCIN,5-11,brand
DDI-DrugBank.d82.s9.e1,probenecid,44-53,drug
DDI-DrugBank.d82.s9.e2,indomethacin,77-88,drug
DDI-DrugBank.d82.s10.e0,INDOCIN,41-47,brand
DDI-DrugBank.d82.s11.e0,INDOCIN,30-36,brand
DDI-DrugBank.d82.s12.e0,INDOCIN,26-32,brand
DDI-DrugBank.d82.s12.e1,methotrexate,70-81,drug
DDI-DrugBank.d82.s13.e0,INDOCIN,0-6,brand
DDI-DrugBank.d82.s13.e1,methotrexate,63-74,drug
DDI-DrugBank.d82.s14.e0,non-steroidal anti-inflammatory drugs,18-54,group
DDI-DrugBank.d82.s14.e1,cyclosporine,75-86,drug
DDI-DrugBank.d82.s14.e2,cyclosporine,128-139,drug
DDI-DrugBank.d82.s15.e0,NSAIDs,0-5,group
DDI-DrugBank.d82.s15.e1,cyclosporine,54-65,drug
DDI-DrugBank.d82.s16.e0,INDOCIN,9-15,brand
DDI-DrugBank.d82.s16.e1,lithium,81-87,drug
DDI-DrugBank.d82.s16.e2,lithium,112-118,drug
DDI-DrugBank.d82.s16.e3,lithium,199-205,drug
DDI-DrugBank.d82.s18.e0,INDOCIN,23-29,brand
DDI-DrugBank.d82.s18.e1,lithium,35-41,drug
DDI-DrugBank.d82.s18.e2,lithium,122-128,drug
DDI-DrugBank.d82.s19.e0,lithium,20-26,drug
DDI-DrugBank.d82.s20.e0,lithium,47-53,drug
DDI-DrugBank.d82.s21.e0,INDOCIN,0-6,brand
DDI-DrugBank.d82.s21.e1,digoxin,33-39,drug
DDI-DrugBank.d82.s21.e2,digoxin,124-130,drug
DDI-DrugBank.d82.s22.e0,INDOCIN,16-22,brand
DDI-DrugBank.d82.s22.e1,digoxin,28-34,drug
DDI-DrugBank.d82.s22.e2,digoxin,66-72,drug
DDI-DrugBank.d82.s23.e0,INDOCIN,40-46,brand
DDI-DrugBank.d82.s23.e1,loop diuretics,118-121;156-164,group
DDI-DrugBank.d82.s23.e2,potassium-sparing diuretics,124-140;156-164,group
DDI-DrugBank.d82.s23.e3,thiazide diuretics,147-164,group
DDI-DrugBank.d82.s24.e0,INDOCIN,16-22,brand
DDI-DrugBank.d82.s24.e1,INDOCIN,28-34,brand
DDI-DrugBank.d82.s25.e0,Indomethacin,1-12,drug
DDI-DrugBank.d82.s25.e1,diuretics,15-23,group
DDI-DrugBank.d82.s25.e2,diuretic,130-137,group
DDI-DrugBank.d82.s26.e0,INDOCIN,0-6,brand
DDI-DrugBank.d82.s26.e1,furosemide,97-106,drug
DDI-DrugBank.d82.s28.e0,triamterene,42-52,drug
DDI-DrugBank.d82.s28.e1,INDOCIN,83-89,brand
DDI-DrugBank.d82.s29.e0,INDOCIN,0-6,brand
DDI-DrugBank.d82.s29.e1,triamterene,12-22,drug
DDI-DrugBank.d82.s30.e0,INDOCIN,0-6,brand
DDI-DrugBank.d82.s30.e1,potassium-sparing diuretics,12-38,group
DDI-DrugBank.d82.s31.e0,INDOCIN,25-31,brand
DDI-DrugBank.d82.s31.e1,potassium-sparing diuretics,37-63,group
DDI-DrugBank.d82.s32.e0,diuretics,37-45,group
DDI-DrugBank.d82.s32.e1,INDOCIN,152-158,brand
DDI-DrugBank.d82.s33.e0,beta-adrenoceptor blocking agents,43-75,group
DDI-DrugBank.d82.s33.e1,non-steroidal antiinflammatory drugs,80-115,group
DDI-DrugBank.d82.s33.e2,INDOCIN,127-133,brand
DDI-DrugBank.d82.s35.e0,INDOCIN,0-6,brand
DDI-DrugBank.d82.s35.e1,captopril,51-59,drug
DDI-DrugBank.d82.s35.e2,losartan,65-72,drug
DDI-DrugBank.d82.s36.e0,INDOCIN,98-104,brand
DDI-DrugBank.d181.s0.e0,Oxytocin,0-7,drug
DDI-DrugBank.d181.s0.e1,oxytocics,18-26,group
DDI-DrugBank.d181.s0.e2,dinoprost,49-57,drug
DDI-DrugBank.d295.s0.e0,entecavir,6-14,drug
DDI-DrugBank.d295.s0.e1,BARACLUDE,76-84,brand
DDI-DrugBank.d295.s0.e2,entecavir,208-216,drug
DDI-DrugBank.d295.s1.e0,entecavir,20-28,drug
DDI-DrugBank.d295.s1.e1,lamivudine,35-44,drug
DDI-DrugBank.d295.s1.e2,adefovir dipivoxil,47-64,drug
DDI-DrugBank.d295.s1.e3,tenofovir disoproxil fumarate,69-97,drug
DDI-DrugBank.d295.s2.e0,BARACLUDE,35-43,brand
DDI-DrugBank.d295.s2.e1,BARACLUDE,218-226,brand
DDI-DrugBank.d554.s0.e0,antibiotic,8-17,group
DDI-DrugBank.d554.s0.e1,cisplatin,20-28,drug
DDI-DrugBank.d554.s0.e2,cyclosporine,31-42,drug
DDI-DrugBank.d554.s0.e3,diuretic,45-52,group
DDI-DrugBank.d554.s0.e4,foscarnet,55-63,drug
DDI-DrugBank.d554.s0.e5,vaccines,70-77,group
DDI-DrugBank.d563.s0.e0,ETHYOL,63-68,brand
DDI-DrugBank.d563.s0.e1,antihypertensive medications,92-119,group
DDI-DrugBank.d530.s0.e0,Non-selective monoamine oxidase (MAO) inhibitors,0-47,group
DDI-DrugBank.d530.s0.e1,phenelzine sulfate,61-78,drug
DDI-DrugBank.d530.s0.e2,tranylcypromine sulfate,81-103,drug
DDI-DrugBank.d530.s0.e3,pargyline,109-117,drug
DDI-DrugBank.d530.s1.e0,L-phenylalanine,19-33,drug
DDI-DrugBank.d530.s1.e1,non-selective MAO inhibitors,39-66,group
DDI-DrugBank.d530.s2.e0,Selegiline,0-9,drug
DDI-DrugBank.d530.s2.e1,L-phenylalanine,13-27,drug
DDI-DrugBank.d530.s2.e2,selective MAO inhibitor,37-59,group
DDI-DrugBank.d530.s2.e3,selegiline,61-70,drug
DDI-DrugBank.d530.s3.e0,Neuroleptic Drugs,0-16,group
DDI-DrugBank.d530.s3.e1,L-phenylalanine,20-34,drug
DDI-DrugBank.d530.s3.e2,neuroleptic drugs,92-108,group
DDI-DrugBank.d216.s0.e0,Ethanol,17-23,drug
DDI-DrugBank.d216.s0.e1,eszopiclone,105-115,drug
DDI-DrugBank.d216.s0.e2,ethanol,121-127,drug
DDI-DrugBank.d216.s0.e3,ethanol,163-169,drug
DDI-DrugBank.d216.s1.e0,Paroxetine,0-9,drug
DDI-DrugBank.d216.s1.e1,eszopiclone,48-58,drug
DDI-DrugBank.d216.s1.e2,paroxetine,69-78,drug
DDI-DrugBank.d216.s2.e0,Lorazepam,0-8,drug
DDI-DrugBank.d216.s2.e1,eszopiclone,47-57,drug
DDI-DrugBank.d216.s2.e2,lorazepam,68-76,drug
DDI-DrugBank.d216.s3.e0,Olanzapine,0-9,drug
DDI-DrugBank.d216.s3.e1,eszopiclone,32-42,drug
DDI-DrugBank.d216.s3.e2,olanzapine,53-62,drug
DDI-DrugBank.d216.s6.e0,Ketoconazole,27-38,drug
DDI-DrugBank.d216.s6.e1,eszopiclone,96-106,drug
DDI-DrugBank.d216.s7.e0,eszopiclone,11-21,drug
DDI-DrugBank.d216.s7.e1,ketoconazole,69-80,drug
DDI-DrugBank.d216.s9.e0,itraconazole,41-52,drug
DDI-DrugBank.d216.s9.e1,clarithromycin,55-68,drug
DDI-DrugBank.d216.s9.e2,nefazodone,71-80,drug
DDI-DrugBank.d216.s9.e3,troleandomycin,83-96,drug
DDI-DrugBank.d216.s9.e4,ritonavir,99-107,drug
DDI-DrugBank.d216.s9.e5,nelfinavir,110-119,drug
DDI-DrugBank.d216.s10.e0,Rifampicin,26-35,drug
DDI-DrugBank.d216.s10.e1,zopiclone,46-54,drug
DDI-DrugBank.d216.s10.e2,rifampicin,104-113,drug
DDI-DrugBank.d216.s11.e0,eszopiclone,40-50,drug
DDI-DrugBank.d216.s12.e0,Eszopiclone,37-47,drug
DDI-DrugBank.d216.s13.e0,eszopiclone,30-40,drug
DDI-DrugBank.d216.s14.e0,eszopiclone,18-28,drug
DDI-DrugBank.d216.s15.e0,Digoxin,38-44,drug
DDI-DrugBank.d216.s15.e1,eszopiclone,63-73,drug
DDI-DrugBank.d216.s15.e2,digoxin,119-125,drug
DDI-DrugBank.d216.s16.e0,Warfarin,0-7,drug
DDI-DrugBank.d216.s16.e1,Eszopiclone,10-20,drug
DDI-DrugBank.d216.s16.e2,(R)-warfarin,95-98;107-114,drug
DDI-DrugBank.d216.s16.e3,(S)-warfarin,104-115,drug
DDI-DrugBank.d216.s16.e4,warfarin,233-240,drug
DDI-DrugBank.d381.s0.e0,ERGAMISOL,0-8,brand
DDI-DrugBank.d381.s0.e1,levamisole hydrochloride,12-35,drug
DDI-DrugBank.d381.s0.e2,alcohol,124-130,drug
DDI-DrugBank.d381.s1.e0,phenytoin,53-61,drug
DDI-DrugBank.d381.s2.e0,levamisole,118-127,drug
DDI-DrugBank.d381.s2.e1,warfarin sodium,133-147,drug
DDI-DrugBank.d381.s2.e2,warfarin sodium,232-246,drug
DDI-DrugBank.d381.s2.e3,coumarin,257-264,group
DDI-DrugBank.d507.s0.e0,guanfacine,42-51,drug
DDI-DrugBank.d507.s0.e1,CNS-depressant drug,73-91,group
DDI-DrugBank.d507.s1.e0,guanfacine,22-31,drug
DDI-DrugBank.d507.s1.e1,phenobarbital,85-97,drug
DDI-DrugBank.d507.s1.e2,phenytoin,102-110,drug
DDI-DrugBank.d507.s3.e0,guanfacine,12-21,drug
DDI-DrugBank.d507.s4.e0,TCAs,0-3,group
DDI-DrugBank.d507.s4.e1,guanfacine,40-49,drug
DDI-DrugBank.d507.s5.e0,Noncardioselective beta-blockers,0-31,group
DDI-DrugBank.d507.s5.e1,nadolol,34-40,drug
DDI-DrugBank.d507.s5.e2,timolol,54-60,drug
DDI-DrugBank.d507.s5.e3,guanfacine,104-113,drug
DDI-DrugBank.d507.s6.e0,beta-blocker,4-15,group
DDI-DrugBank.d507.s7.e0,guafacine,26-34,drug
DDI-DrugBank.d507.s7.e1,cardioselective beta-blocker,41-68,group
DDI-DrugBank.d507.s8.e0,Anticoagulants,0-13,group
DDI-DrugBank.d507.s8.e1,anticoagulants,57-70,group
DDI-DrugBank.d507.s8.e2,guanfacine,83-92,drug
DDI-DrugBank.d507.s10.e0,guanfacine,36-45,drug
DDI-DrugBank.d507.s10.e1,diuretics,78-86,group
DDI-DrugBank.d507.s11.e0,guanfacine,33-42,drug
DDI-DrugBank.d507.s12.e0,cardiac glycosides,68-85,group
DDI-DrugBank.d507.s12.e1,sedatives,94-102,group
DDI-DrugBank.d507.s12.e2,hypnotics,108-116,group
DDI-DrugBank.d507.s12.e3,coronary vasodilators,125-145,group
DDI-DrugBank.d507.s12.e4,hypoglycemics,158-170,group
DDI-DrugBank.d507.s12.e5,NSAIDs,212-217,group
DDI-DrugBank.d507.s12.e6,antihyperlipidemics,225-243,group
DDI-DrugBank.d507.s12.e7,antigout drugs,251-264,group
DDI-DrugBank.d507.s12.e8,contraceptives,277-290,group
DDI-DrugBank.d507.s12.e9,bronchodilators,298-312,group
DDI-DrugBank.d507.s12.e10,insulin,320-326,drug
DDI-DrugBank.d507.s12.e11,beta blockers,338-350,group
DDI-DrugBank.d507.s13.e0,guanfacine,166-175,drug
DDI-DrugBank.d507.s14.e0,guanfacine,89-98,drug
DDI-DrugBank.d261.s0.e0,Tetracycline,0-11,drug
DDI-DrugBank.d261.s0.e1,bacteriostatic antibiotic,16-40,group
DDI-DrugBank.d261.s0.e2,penicillin,85-94,drug
DDI-DrugBank.d92.s0.e0,glutamic acid,37-49,drug
DDI-DrugBank.d83.s0.e0,warfarin-type anticoagulant,12-38,group
DDI-DrugBank.d83.s0.e1,griseofulvin,116-127,drug
DDI-DrugBank.d83.s1.e0,barbiturates,19-30,group
DDI-DrugBank.d83.s1.e1,griseofulvin,50-61,drug
DDI-DrugBank.d83.s2.e0,griseofulvin,34-45,drug
DDI-DrugBank.d83.s2.e1,contraceptives,96-109,group
DDI-DrugBank.d411.s1.e0,levothyroxine,169-181,drug
DDI-DrugBank.d411.s2.e0,Levothyroxine Sodium,0-19,drug
DDI-DrugBank.d411.s2.e1,levothyroxine sodium,90-109,drug
DDI-DrugBank.d411.s2.e2,aluminum hydoxide,144-160,drug
DDI-DrugBank.d411.s2.e3,cholestyramine,163-176,drug
DDI-DrugBank.d411.s2.e4,colestipol hydrochloride,185-208,drug
DDI-DrugBank.d411.s2.e5,ferrous sulfate,211-225,drug
DDI-DrugBank.d411.s2.e6,sodium polystyrene sulfonate,228-255,drug
DDI-DrugBank.d411.s2.e7,sucralfate,296-305,drug
DDI-DrugBank.d411.s3.e0,levothyroxine sodium,67-86,drug
DDI-DrugBank.d411.s3.e1,androgens,169-177,group
DDI-DrugBank.d411.s3.e2,anabolic hormones,191-207,group
DDI-DrugBank.d411.s3.e3,asparaginase,210-221,drug
DDI-DrugBank.d411.s3.e4,clofibrate,224-233,drug
DDI-DrugBank.d411.s3.e5,estrogens,236-244,group
DDI-DrugBank.d411.s3.e6,estrogen-containing compounds,250-278,group
DDI-DrugBank.d411.s3.e7,5-fluorouracil,281-294,drug
DDI-DrugBank.d411.s3.e8,furosemide,297-306,drug
DDI-DrugBank.d411.s3.e9,glucocorticoids,309-323,group
DDI-DrugBank.d411.s3.e10,meclofenamic acid,326-342,drug
DDI-DrugBank.d411.s3.e11,mefenamic acid,345-358,drug
DDI-DrugBank.d411.s3.e12,methadone,361-369,drug
DDI-DrugBank.d411.s3.e13,perphenazine,372-383,drug
DDI-DrugBank.d411.s3.e14,phenylbutazone,386-399,drug
DDI-DrugBank.d411.s3.e15,phenytoin,402-410,drug
DDI-DrugBank.d411.s3.e16,salicylates,413-423,group
DDI-DrugBank.d411.s3.e17,tamoxifen,426-434,drug
DDI-DrugBank.d411.s4.e0,aminoglutethimide,228-244,drug
DDI-DrugBank.d411.s4.e1,p-aminosalicylic acid,247-267,drug
DDI-DrugBank.d411.s4.e2,amiodarone,270-279,drug
DDI-DrugBank.d411.s4.e3,androgens,282-290,group
DDI-DrugBank.d411.s4.e4,thiocyanate,339-349,drug
DDI-DrugBank.d411.s4.e5,perchlorate,352-362,drug
DDI-DrugBank.d411.s4.e6,pertechnetate,365-377,drug
DDI-DrugBank.d411.s4.e7,antithyroid drugs,381-397,group
DDI-DrugBank.d411.s4.e8,b-adrenergic blocking agents,400-427,group
DDI-DrugBank.d411.s4.e9,carbamazepine,430-442,drug
DDI-DrugBank.d411.s4.e10,chloral hydrate,445-459,drug
DDI-DrugBank.d411.s4.e11,diazepam,462-469,drug
DDI-DrugBank.d411.s4.e12,dopamine,472-479,drug
DDI-DrugBank.d411.s4.e13,dopamine agonists,485-501,group
DDI-DrugBank.d411.s4.e14,ethionamide,504-514,drug
DDI-DrugBank.d411.s4.e15,glucocorticoids,517-531,group
DDI-DrugBank.d411.s4.e16,heparin,534-540,drug
DDI-DrugBank.d411.s4.e17,insulin,568-574,drug
DDI-DrugBank.d411.s4.e18,iodine-containing compounds,611-637,group
DDI-DrugBank.d411.s4.e19,levodopa,640-647,drug
DDI-DrugBank.d411.s4.e20,lovastatin,650-659,drug
DDI-DrugBank.d411.s4.e21,lithium,662-668,drug
DDI-DrugBank.d411.s4.e22,6-mercaptopurine,671-686,drug
DDI-DrugBank.d411.s4.e23,metoclopramide,689-702,drug
DDI-DrugBank.d411.s4.e24,mitotane,705-712,drug
DDI-DrugBank.d411.s4.e25,nitroprusside,715-727,drug
DDI-DrugBank.d411.s4.e26,phenobarbital,730-742,drug
DDI-DrugBank.d411.s4.e27,phenytoin,745-753,drug
DDI-DrugBank.d411.s4.e28,resorcinol,756-765,drug
DDI-DrugBank.d411.s4.e29,rifampin,768-775,drug
DDI-DrugBank.d411.s4.e30,somatostatin analogs,778-797,group
DDI-DrugBank.d411.s4.e31,sulfonamides,800-811,group
DDI-DrugBank.d411.s4.e32,sulfonylureas,814-826,group
DDI-DrugBank.d411.s4.e33,thiazide diuretics,829-846,group
DDI-DrugBank.d411.s6.e0,Amiodarone,0-9,drug
DDI-DrugBank.d411.s6.e1,Amiodarone,12-21,drug
DDI-DrugBank.d411.s7.e0,Anticoagulants,0-13,group
DDI-DrugBank.d411.s7.e1,anticoagulants,57-70,group
DDI-DrugBank.d411.s8.e0,Antidiabetic Agents,0-18,group
DDI-DrugBank.d411.s8.e1,Insulin,21-27,drug
DDI-DrugBank.d411.s8.e2,Sulfonylureas,30-42,group
DDI-DrugBank.d411.s8.e3,insulin,63-69,drug
DDI-DrugBank.d411.s8.e4,antidiabetic agents,79-97,group
DDI-DrugBank.d411.s9.e0,b-Adrenergic Blocking Agents,0-27,group
DDI-DrugBank.d411.s9.e1,beta-blocking agents,49-68,group
DDI-DrugBank.d411.s10.e0,Cytokines,0-8,group
DDI-DrugBank.d411.s10.e1,interferon,11-20,group
DDI-DrugBank.d411.s10.e2,interleukin,23-33,group
DDI-DrugBank.d411.s10.e3,Cytokines,37-45,group
DDI-DrugBank.d411.s11.e0,Digitalis Glycosides,0-19,group
DDI-DrugBank.d411.s11.e1,digitalis glycosides,45-64,group
DDI-DrugBank.d411.s12.e0,digitalis,6-14,group
DDI-DrugBank.d411.s13.e0,Ketamine,0-7,drug
DDI-DrugBank.d411.s13.e1,levothyroxine sodium,115-134,drug
DDI-DrugBank.d411.s13.e2,ketamine,140-147,drug
DDI-DrugBank.d411.s14.e0,Maprotiline,0-10,drug
DDI-DrugBank.d411.s15.e0,Sodium Iodide,0-12,drug
DDI-DrugBank.d411.s15.e1,Sodium Pertechnetate Tc99m,31-56,drug
DDI-DrugBank.d411.s16.e0,Somatrem,0-7,drug
DDI-DrugBank.d411.s16.e1,Somatropin,9-18,drug
DDI-DrugBank.d411.s16.e2,thyroid hormone,49-63,group
DDI-DrugBank.d411.s17.e0,somatrem,67-74,drug
DDI-DrugBank.d411.s17.e1,somatropin,79-88,drug
DDI-DrugBank.d411.s18.e0,Theophylline,0-11,drug
DDI-DrugBank.d411.s18.e1,Theophylline,14-25,drug
DDI-DrugBank.d411.s19.e0,Tricyclic Antidepressants,0-24,group
DDI-DrugBank.d411.s20.e0,tricyclics,19-28,group
